datetime,pressure,temp,pressure_atmo,temp_atmo,wl_corr,wl_final,discharge
2023-07-13T04:00:00+00:00,765.398989461233,3.261,668.9848215241699,10.161,96.4141679370631,57.08361163088307,0.311825
2023-07-13T04:20:00+00:00,766.3167340529131,2.9773333333333336,668.9304366594777,10.584333333333333,97.38629739343541,58.05574108725538,1.553235
2023-07-13T05:00:00+00:00,768.1522232362734,2.41,668.8216669300933,11.431,99.33055630618004,60.0,2.7408599999999996
2023-07-13T05:10:00+00:00,769.1515451249918,2.3921666666666668,668.763883011358,11.721333333333332,100.38766211363381,61.05710580745377,2.31665
2024-08-20T03:00:00+00:00,706.833,1.417,663.025,9.617,43.80799999999999,57.70799999999997,1.2229450000000002
2024-08-20T03:33:00+00:00,706.833,1.6535,662.8643999999999,11.602500000000001,43.96860000000001,57.86859999999999,1.31952
2024-08-20T04:00:00+00:00,706.833,1.847,662.733,13.227,44.10000000000002,58.0,1.44311
2024-08-20T04:30:00+00:00,709.6624999999999,2.1935000000000002,662.6455,13.707,47.016999999999996,60.91699999999997,2.77603
2024-08-20T05:03:00+00:00,712.7953,2.51235,662.54345,14.2218,50.25184999999997,64.15184999999994,2.31138
2024-08-20T09:10:00+00:00,726.5691666666667,2.1925,661.4886666666667,20.691333333333333,65.08049999999992,78.98049999999989,6.11136
2024-08-21T00:15:00+00:00,708.71475,0.29,663.05425,4.1175,45.66050000000001,59.56049999999999,1.19181
2024-08-21T00:30:00+00:00,708.6125,0.29,663.0835000000001,4.125,45.528999999999996,59.428999999999974,1.19774
2024-08-21T01:00:00+00:00,708.408,0.29,663.142,4.14,45.26599999999996,59.16599999999994,1.31738
2025-08-13T06:05:00+00:00,730.3614166666666,1.2514166666666666,666.9676666666667,9.287166666666666,63.39375000000002,77.90625000000007,1.8099
2025-08-13T09:30:00+00:00,736.9045,1.368,665.4164999999999,10.64,71.488,86.00050000000005,2.5814500000000002
2025-08-13T10:19:00+00:00,743.4174166666667,1.3938833333333334,665.6904999999999,10.248233333333333,77.72691666666667,92.23941666666671,3.082
2025-08-14T01:00:00+00:00,712.9,0.8,665.067,7.523,47.83299999999997,62.345500000000015,1.00885
2025-08-14T01:21:00+00:00,712.96125,0.83255,665.00575,7.5755,47.95549999999998,62.468000000000025,1.0227
2025-08-14T02:00:00+00:00,713.075,0.893,664.892,7.673,48.18299999999999,62.69550000000004,1.0054500000000002
2025-08-14T02:54:00+00:00,714.4403,1.01,665.0495,7.7989999999999995,49.39079999999998,63.90330000000002,1.0601500000000001
2025-08-14T03:26:00+00:00,717.3722666666666,1.088,665.067,7.8537333333333335,52.30526666666667,66.81776666666671,1.43595
2025-08-14T04:05:00+00:00,721.3483333333334,1.1769166666666666,665.067,7.980583333333334,56.28133333333336,70.79383333333341,1.67415
2025-08-14T04:50:00+00:00,724.4113333333333,1.2121666666666666,665.067,8.642833333333332,59.34433333333332,73.85683333333337,2.1295
2025-08-14T05:34:00+00:00,729.4218999999999,1.2296333333333334,664.9678333333334,8.510633333333333,64.45406666666659,78.96656666666664,2.64415
2025-08-14T09:36:00+00:00,729.2801999999999,1.173,664.3779999999999,8.0978,64.9022,79.41470000000004,2.382
2025-08-14T10:07:00+00:00,727.7276166666667,1.3114833333333333,664.27405,8.480166666666667,63.45356666666663,77.96606666666668,2.5184499999999996
2025-08-14T10:44:00+00:00,729.6337333333333,2.0434666666666668,664.0946,8.782333333333334,65.53913333333327,80.05163333333331,2.68145
